Agent,Synonyms
"3-Monochloro-1,2-propanediol","['Chloropropanediol', '3-MCPD', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Methyl acrylate,"['Acrylic acid methyl ester', 'Methyl propenoate', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Ethylenethiourea,"['ETU', '2-Imidazolidinethione', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
gamma-Butyrolactone,"['GBL', 'Butyrolactone', '2-Oxolanone', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Eugenol,"['4-Allyl-2-methoxyphenol', '2-Methoxy-4-(2-propenyl)phenol', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"Foreign bodies (see Ceramic implants, Dental materials, Implanted foreign bodies, Metallic implants, Organic polymeric materials, Orthopaedic implants, Polymeric implants, Silicone breast implants)",['<no synonym>']
"Household combustion of coal (see Coal, indoor emissions from household combustion)",['<no synonym>']
"Michler’s base [4,4´-methylenebis(N,N-dimethyl)benzenamine]","[""Michler's base"", '4', ""4'-Bis(dimethylamino)diphenylmethane"", 'Bis[p-(dimethylamino)phenyl]methane', 'Tetramethyldiaminodiphenylmethane', 'Methylenebis[N', 'N-dimethylaniline]', 'Methylenebis(dimethylaniline)', '4', ""4'-Methylenebis(N"", 'N-dimethylaniline)', '4', ""4'-methylenebis(N"", 'N-dimethyl)aniline', 'bis(p-(dimethylamino)phenyl)methane', 'N', 'N', ""N'"", ""N'-Tetramethyl-4"", ""4'-diaminodiphenylmethane"", 'N', 'N', ""N'"", ""N'-Tetramethyl-4"", ""4'-methylenedianiline"", 'Bis[4-(dimethylamino)phenyl]methane', 'Tetra methyl diaminodiphenyl methane', 'Tetra methyl diaminodiphenylmethane', 'Tetra methyldiaminodiphenylmethane']"
Glyphosate,"['N-(phosphonomethyl)glycine', 'Roundup', 'Rodeo', 'Glyfos', 'Glycel', 'Touchdown', 'Accord', 'Avans', 'Eraser', 'Landmaster', 'Ranger', 'Sting', 'Tumbleweed', 'Weedmaster']"
2-(1-Aziridinyl)ethanol,"['N-(2-Hydroxyethyl)aziridine', '1-(2-Hydroxyethyl)aziridine', 'NSC 3522', 'Aziridineethanol', 'Hydroxyethylaziridine', 'HEA', 'Ethanol', '2-(1-aziridinyl)-', 'Ethylenimine ethanol', 'Ethylenimine alcohol', '1-(2-Hydroxyethyl)ethylenimine', 'N-(2-Hydroxyethyl)ethylenimine', '2-(N-aziridinyl)ethanol', 'CAS 1072-52-7', 'AzE', 'N-ethylenimine ethanol']"
Vinyl acetate,"['ethenyl ethanoate', 'acetic acid vinyl ester', 'vinyl ester of acetic acid', 'VAM', 'ethenyl acetate', 'VyAc', 'CAS 108-05-4', 'Acetoxyethene', 'VA', 'vinyl acetate monomer', 'VAC', 'Vinyl acetate homopolymer', 'Unithox 480']"
Methyl isobutyl ketone,"['MIBK', '2-Pentanone', '4-methyl-', 'Isopropylacetone', '4-Methyl-2-pentanone', 'Hexone', 'Isobutyl methyl ketone', 'Shell MIBK', 'Rondo', '4-methylpentan-2-one', '2-Methyl-4-pentanone', 'CAS 108-10-1', 'Isopropyllacetone', 'MIK']"
Diisopropyl ether,"['Isopropyl ether', '2-Isopropoxypropane', 'Isopropyl oxide', 'Propan-2-yl ether', 'bis(1-methylethyl) ether', 'di(2-propyl) ether', 'DIPE', 'CAS 108-20-3', 'Isopropyl oxide', 'Oxydipropane', '2', ""2'-oxybispropane"", 'Secondary propyl ether', 'Bis(isopropyl) ether', '2-Propoxypropane', 'Ether', 'isopropyl']"
Succinic anhydride,"['Dihydro-2', '5-furandione', 'Butanedioic anhydride', 'Succinyl oxide', '2', '5-Dioxotetrahydrofuran', 'Succinic acid anhydride', 'CAS 108-30-5', 'SA', 'Succinan', 'Tetrahydro-2', '5-dioxofuran', 'Butane-1', '4-dioic anhydride', 'Butanedioic acid anhydride', '2', '5-Furandione', 'dihydro-', 'Succinic anhydride']"
meta-Phenylenediamine,"['1', '3-Diaminobenzene', 'm-Diaminobenzene', '1', '3-Benzenediamine', '3-Aminoaniline', 'm-Aminoaniline', 'MPDA', '1', '3-Phenylenediamine', 'CAS 108-45-2', '3-Benzenediamine', 'm-Phenylene diamine', 'Benzene-1', '3-diamine', 'meta-Phenyldiamine', 'm-Phenylenediamine']"
Resorcinol,"['1', '3-Benzenediol', 'm-Dihydroxybenzene', '3-Hydroxyphenol', 'm-Hydroquinone', 'Benzene-1', '3-diol', 'Resorcin', 'm-Phenylenediol', 'CAS 108-46-3', '1', '3-Dihydroxybenzene', 'm-Hydroxyphenol', 'meta-Dihydroxybenzene', 'Resinol', 'Benzoresorcinol', 'Resorcin']"
Bis(2-chloro-1-methylethyl)ether,"['Dichloroisopropyl ether', 'DCIP ether', '2', ""2'-Dichloro diisopropyl ether"", '2', ""2'-Dichlorodiisopropyl ether"", 'DCIPE', 'BCME', 'Bis(2-chloro-1-methylethyl) oxide', '2', ""2'-Dichloroisopropyl ether"", 'CAS 108-60-1', 'Ether', 'bis(2-chloro-1-methylethyl)', 'Bis(2-chloroisopropyl)ether', 'Di(2-chloro-1-methylethyl) ether', 'Dichlorodiisopropyl ether', '2', ""2'-Dichloroisopropyl ether"", '2', ""2'-Dichlorodi-isopropyl ether""]"
Melamine,"['1', '3', '5-Triazine-2', '4', '6-triamine', 'Cyanuramide', '2', '4', '6-Triamino-s-triazine', 'Cyanurotriamine', 'Melamin', 'CAS 108-78-1', 'S-Triazine-2', '4', '6-triamine', 'Triaminotriazine', 'Triamino-s-triazine', 'Triazine triamine', 'Cyanurotriamide', '2', '4', '6-Triamino-1', '3', '5-triazine', 'Isocyanuramide', 'Melamine resin']"
Toluene,"['Methylbenzene', 'Phenylmethane', 'Toluol', 'Methyl benzol', 'CAS 108-88-3', 'Tolu-Sol', 'Antisal 1a', 'Monomethylbenzene', 'Anisen', 'Benzene', 'methyl-', 'UN 1294', 'Methylcyclohexane']"
Cyclohexanone,"['Ketohexamethylene', 'Pimelic ketone', 'Cyclohexyl ketone', 'Anone', 'Nadone', 'Adronal', 'Ketohexamethylene', 'Pimelinketone', 'Sexton', 'Cyclohexyl ketone', 'CAS 108-94-1', 'Hexamethylene ketone', 'Nadone']"
Phenol,"['Carbolic acid', 'Hydroxybenzene', 'Phenic acid', 'Phenyl hydroxide', 'Phenylic acid', 'Benzenol', 'Monohydroxybenzene', 'CAS 108-95-2', 'Phenol alcohol', 'Oxybenzene', 'Phenylhydrate', 'Coal tar disinfectant', 'Liquid carbolic acid', 'Benzen-1-ol']"
β-Picoline,"['3-Methylpyridine', '3-Picoline', 'beta-Methylpyridine', 'CAS 108-99-6', 'Pyridine', '3-methyl-', 'beta-Picoline', '3-Picoline', '3-Methylpyridine', 'm-Picoline', 'NSC 7002', 'Beta-Picoline', '3-Methyl-pyridine']"
1-Bromo-3-chloropropane,"['Trimethylene chlorobromide', 'Propane', '1-bromo-3-chloro-', 'Trimethylene bromochloride', '1-Chloro-3-bromopropane', '1-Chlorobromopropane', 'CAS 109-70-6', '1-Bromo-3-chlorpropane', '1-Chloro-3-bromopropane']"
Tetrahydrofuran,"['THF', 'Tetramethylene oxide', 'Butylene oxide', 'Oxolane', 'Furanidine', 'Tetrahydrofuran', 'CAS 109-99-9', 'Tetrahydrofurane', 'Tetrahydrofuran', 'Tetramethylene oxide', 'Butylene oxide', 'Furanidine']"
Furan,"['Furane', 'Oxole', 'Tetrole', 'Divinylene oxide', '1', '4-Epoxybuta-1', '3-diene', 'CAS 110-00-9', 'Divinylen oxide', 'Epoxybuta-1', '3-diene', 'Furfuran', 'Tetrole', 'Divinylene oxide', '1', '4-Epoxybuta-1', '3-diene']"
"trans-1,4-Dichlorobutene","['1', '4-Dichloro-2-butene', 'trans-1', '4-Dichloro-2-butene', 'trans-1', '4-Dichlorobut-2-ene', 'Butene', 'trans-1', '4-dichloro-2', 'CAS 110-57-6', '1', '4-Dichlorobutene-2', '(E)-1', '4-Dichloro-2-butene', '2-Butene', '1', '4-dichloro-', '(E)-']"
Pyridine,"['Azabenzene', 'Azine', 'Pyridin', 'CAS 110-86-1', 'Pirdin', 'Pyridyne', 'Piridin', 'Pyrodine', 'Pyridal', 'Pyridex', 'Pyradine', 'Pyridam', 'Pyridamol', 'Pyridazine', 'Azabenzene', 'Azine']"
Morpholine,"['Tetrahydro-1', '4-oxazine', 'Diethylenimide oxide', 'Tetrahydro-p-oxazine', 'Diethylene oximide', 'Diethylene imidoxide', '1', '4-Morpholine', 'Tetrahydro-1', '4-isoxazine', 'Morpholin', 'CAS 110-91-8', '1', '4-Oxazinane', 'Tetrahydropyrane-4-imine', '1-Oxa-4-azacyclohexane', 'Diethylenimide oxide', 'Tetrahydro-p-oxazine']"
Bleomycins,"['Bleomycin', 'Bleomycines', 'BLM', 'Blenoxane', 'Bleo', 'CAS 11056-06-7', 'Bleomycin Sulphate', 'Bleomycin Hydrochloride', 'Peplomycin', 'Bleocin', 'Bleo-cell', 'NSC-125066']"
Diethanolamine,"['DEA', '2', ""2'-Iminodiethanol"", 'Bis(2-hydroxyethyl)amine', 'Di(2-hydroxyethyl)amine', 'Iminodiethanol', '2', ""2'-Dihydroxydiethylamine"", 'Ethanol', '2', ""2'-iminodi-"", 'CAS 111-42-2', 'N', 'N-Bis(2-hydroxyethyl)amine', 'Bis(hydroxyethyl)amine', 'Diethanolamine', '2', ""2'-Iminobisethanol"", 'Di(2-hydroxyethyl)amine', 'DEOA']"
Bis(2-chloroethyl)ether,"['Chlorex', '2', ""2'-Dichlorodiethyl ether"", 'Dichloroethyl ether', '1-Chloro-2-(2-chloroethoxy)ethane', 'Dichloroethyl oxide', 'Ethane', '1', ""1'-oxybis(2-chloro"", 'CAS 111-44-4', '2', ""2'-Dichloroethyl ether"", '2', ""2'-Oxybis(chloroethane)"", '2', ""2'-Dichlorodiethylether"", 'B-chloroethyl ether', '2', ""2'-Dichlorodiethyl ether"", 'Bis(beta-chloroethyl) ether']"
2-Butoxyethanol,"['Butyl Cellosolve', 'Ethylene glycol monobutyl ether', 'EGBE', 'Butyl glycol', 'Glycol ether EB', 'Dowanol EB', 'Butyl Oxitol', '2-BE', 'CAS 111-76-2', 'Ethanol', '2-butoxy-', 'Butoxyethanol', 'Butylcellosolve', 'Butoxyethyl alcohol', 'Ektasolve EB']"
Pioglitazone,"['Actos', '5-[[4-[2-(5-Ethyl-2-pyridinyl)ethoxy]phenyl]methyl]-2', '4-thiazolidinedione', 'Glustin', 'Piozone', '5-[[4-[2-(5-Ethyl-2-pyridyl)ethoxy]phenyl]methyl]-2', '4-thiazolidinedione', 'AD 5075', 'Pioglitazon', 'Zactos', '5-[[4-[2-(5-Ethyl-2-pyridinyl)ethoxy]phenyl]methyl]-2', '4-thiazolidinedione monohydrochloride', 'INS 28', 'TZDs', 'Thiazolidinedione']"
"Naphtho[1,2-b]fluoranthene",['<no synonym>']
N-Nitrosodiethanolamine,"['NDEA', 'Diethanolnitrosamine', 'DENA', 'Diethanolamine', 'N-nitroso-', 'Bis(2-hydroxyethyl)nitrosamine', 'N-Nitrosobis(2-hydroxyethyl)amine', 'N-Nitrosodi(2-hydroxyethyl)amine', 'CAS 1116-54-7', 'NDELA', 'N-Nitrosodiethanolamine']"
"1,2","['3', '4-Diepoxybutane (see 1', '3-Butadiene): Diepoxybutane', '2', ""2'-Bioxirane"", 'Butadiene diepoxide', 'Erythritol anhydride', '1', '2', '3', '4-Diepoxybutane', 'DEB', 'meso-Diepoxybutane', '2', ""2'-Bi(ethylene oxide)"", '2', ""2'-Bioxirane"", '1', '2:3', '4-Diepoxybutane', '2', ""2'-Bioxirane"", '1', '3-Butadiene diepoxide', 'Diepoxybutane', '1', '2:3', '4-Diepoxybutane']"
Perfluorooctanesulfonic acid (PFOS),"['PFOS', 'Perfluorooctane sulfonate', 'Perfluorooctane sulfonic acid', 'Perfluorooctyl sulfonate', 'Perfluorooctyl sulfonic acid', 'C8F17SO3H', 'FC-95', 'CAS 1763-23-1', 'Pentadex', 'Perfluoro-octane sulfonic acid', 'Zonyl TBS', 'Fluorad FC-95', 'Perflurooctane sulfonate', 'C8 sulfonic acid']"
Nitrofen (technical-grade),"['2', ""4-Dichlorophenyl-4'-nitrophenyl ether"", '2', '4-Dichloro-1-(4-nitrophenoxy)benzene', '2', '4-Dichlorophenyl p-nitrophenyl ether', '2', '4-Dichlorophenyl 4-nitrophenyl ether', '2', ""4-Dichlorophenyl 4'-nitrophenyl ether"", 'CAS 1836-75-5', 'NIP', 'FW 925', 'TOK', 'Trizilin', '2', '4-Dichlorophenyl-4-nitrophenyl ether', 'Nitrophen', '4-Nitrophenyl 2', '4-dichlorophenyl ether']"
Chromium (VI) compounds,"['Hexavalent chromium', 'Chromium hexavalent', 'Cr(VI)', 'Hexavalent Chrome', 'Chromium VI', 'Chromium 6', 'Chromium compounds (VI)', 'Chromic acid', 'Dichromates', 'Chromates', 'Hexavalent chromium compounds', 'Chrome VI', 'Chromium(6+)']"
Streptozotocin,"['Streptozocin', 'Streptozotocine', 'Zanosar', 'U-9889', 'NSC 85998', '2-Deoxy-2-(3-methyl-3-nitrosoureido)-D-glucopyranose', ""N-(Methylnitroso)-N'-(2-deoxy-D-glucopyranos-2-yl)urea"", 'D-Glucose', '2-deoxy-2-[[(methylnitrosoamino)carbonyl]amino]-', 'Streptozotocin']"
"Dibenzo[a,i]pyrene",['<no synonym>']
"Dibenzo[a,h]pyrene","['Dibenzo[a', 'h]anthracene', 'CAS 189-64-0', 'Dibenzo(a', 'h)pyrene', 'Benzo[rst]pentaphene', '3', '4-Benzopyrene', '1', '2', '5', '6-Dibenzanthracene', '1', '2:5', '6-Dibenzanthracene', '1', '2', '5', '6-Dibenz[a]anthracene', '1', '2:5', '6-Dibenz(a)anthracene']"
Chlorothalonil,"['2', '4', '5', '6-Tetrachloro-1', '3-benzenedicarbonitrile', 'Bravo', 'Daconil', 'Exotherm Termil', 'TPN', 'Forturf', 'Nopcocide N-96', 'CAS 1897-45-6', 'Tetrachloroisophthalonitrile', '2', '4', '5', '6-Tetrachloroisophthalonitrile', 'Chlorotalonil', 'Clorotalonil', '2', '4', '5', '6-Tetrachloro-1', '3-dicyanobenzene']"
Coronene,"['Hexabenzo[a', 'b', 'c', 'd', 'e', 'f]benzene', 'Superbenzene', 'CAS 191-07-1', 'Hexabenzobenzene', 'Circumanthracene', 'Coronen', 'Hexabenzene', 'PAH 202']"
Benzo[ghi]perylene,"['1', '12-Benzoperylene', '1', '12-Benzperylene', 'CAS 191-24-2', 'Benz(ghi)perylene', 'BghiP', 'Benzo(ghi)perylene']"
Anthanthrene,"['Dibenzo[b', 'def]chrysene', 'CAS 194-70-7', '7', '8-Benzopyrene', 'Dianthrene', 'Anthanthracene', '1', '2-Benzanthracene', '1', '2-Benz(a)anthracene', 'Dibenzo(b', 'def)chrysene']"
"Dibenzo[a,l]pyrene","['Dibenzo[def', 'p]chrysene', '7', '14-Dihydronaphtho[1', '2-b]coronene', 'CAS 191-30-0', 'Dibenzo(a', 'l)pyrene', '7', '14-Dihydronaphtho[1', '2-b]coronene']"
Atrazine,"['2-Chloro-4-ethylamino-6-isopropylamino-s-triazine', ""6-Chloro-N-ethyl-N'-(1-methylethyl)-1"", '3', '5-triazine-2', '4-diamine', 'Aatrex', 'Atrazin', 'Gesaprim', 'Aktikon', 'Atratol', 'CAS 1912-24-9', 'Primatol A', 'Vectal', 'Weedex', 'Atrazina', 'Atred', 'Atrex']"
Picloram,"['4-Amino-3', '5', '6-trichloropicolinic acid', '4-Amino-3', '5', '6-trichloro-2-pyridinecarboxylic acid', 'Tordon', 'Borolin', 'Amdon', 'Amdon 101', 'CAS 1918-02-1', 'Piclorame', 'K-Pin', 'Picloram Herbicide', 'Graslan', 'Grazon']"
"Dibenzo[h,rst]pentaphene",['<no synonym>']
"Dibenzo[e,l]pyrene",['<no synonym>']
"Dibenzo[a,e]pyrene",['<no synonym>']
Benzo[e]pyrene,"['CAS 192-97-2', 'Benzo[e]pyrene']"
"Naphtho[2,3-e]pyrene",['<no synonym>']
"Indeno[1,2,3-cd]pyrene","['Indeno(1', '2', '3-cd)pyrene', '1', '10-(1', '2-Benzenediyl)pyrene', 'CAS 193-39-5', 'IcdP', 'Indeno(1', '2', '3-c', 'd)pyrene', 'Benz(ghi)perylene', 'Indeno(1', '2', '3-cd)pyrene', 'Benzo(ghi)perylene', 'IdP', 'Benzo(ghi)perylene']"
CI Orange G,"['Acid Orange 10', 'Orange G', 'C.I. Acid Orange 10', 'Food Orange 5', 'Wool Orange GG', 'Acid Orange', 'CAS 1934-29-2', 'Acid Orange 10', 'D&C Orange No. 10', 'Ext D&C Orange No. 10']"
Orange G (see CI Orange G),['<no synonym>']
"CI Direct Black 38 (see Benzidine, dyes metabolized to)",['<no synonym>']
"7H-Dibenzo[c,g]carbazole","['3', '4', '5', '6-Dibenzcarbazole', 'CAS 194-59-2', 'Dibenzo[c', 'g]carbazole', '7H-Dibenzo(c', 'g)carbazole', '7H-Dibenzo[c', 'g]carbazole', 'Dibenzo[c', 'g]carbazol']"
Benzo[c]phenanthrene,"['3', '4-Benzophenanthrene', '1', '2-Benzophenanthrene', 'CAS 195-19-7', 'Benz[c]phenanthrene', '3', '4-Benzphenanthrene', '1', '2-Benzphenanthrene', '3', '4-Benzophenanthrene', '3', '4-Benz(c)phenanthrene']"
Triethylene glycol diglycidyl ether,"['TEGDGE', '1', '2-Bis(2', '3-epoxypropoxy)ethane', 'Triglycidyl ether of triethylene glycol', '2', ""2'-((((Ethane-1"", '2-diylbis(oxy))bis(ethane-2', '1-diyl))bis(oxy))bis(methylene))bis(oxirane)', 'ETER', 'Triglycidyl ether', 'Triethylene glycol diglycidylether', 'Triethylene glycol diglycidyl ether', 'Glycidyl triether', '2', ""2'-((((Ethane-1"", '2-diylbis(oxy))bis(ethane-2', '1-diyl))bis(oxy))bis(methylene))bis(oxirane)', 'ETER', 'CAS 1954-28-5']"
5-(Morpholinomethyl)-3-[(5-nitrofurfurylidene)amino]-2-oxazolidinone,"['Nifurtoinol', 'Urfadyne', 'Furadantin', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Pronetalol hydrochloride,"['Alderlin', 'Nethalide', 'Pronetalol', 'Iceril', 'NSC-104383', 'Pronethalol', 'Nethalide hydrochloride', 'Alderline', 'Alderline', 'Pronethalol hydrochloride', 'ICI 38174']"
Piperonyl butoxide,"['PBO', '5-[2-(2-Butoxyethoxy)ethoxymethyl]-6-propyl-1', '3-benzodioxole', 'Butacide', 'Pybuthrin', 'ENT 14', '279', 'Glycidyl ether', 'CAS 51-03-6', '3', '4-Methylenedioxy-6-propylbenzyl n-butyl diethyleneglycol ether', 'Butocide', 'Etoxyfen']"
"2,4,6-Tris(1-aziridinyl)-s-triazine","['Tris(ethyleneimino)-s-triazine', 'Triethylenemelamine', 'TEM', 'TEMEL', 'Tretamine', 'NSC 9706', '2', '4', '6-Tris(aziridin-1-yl)-1', '3', '5-triazine', 'CAS 51-18-3', 'Triethylene melamine', 'Triethylenemelamine', 'Tris(ethyleneimino) triazine', 'Tretamin', '2', '4', '6-Tris(ethylenimino)-s-triazine', 'Triaziquone']"
5-Fluorouracil,"['5-FU', 'Adrucil', 'Fluorouracil', '5-Fluoro-2', '4(1H', '3H)-pyrimidinedione', 'Fluorouracil', 'CAS 51-21-8', 'Efudex', '5-Fluorouracil', 'Fluorouracil', 'Fluoro-5-uracil', 'Carac', '5-Fluoro-2', '4(1H', '3H)-pyrimidinedione']"
Propylthiouracil,"['6-Propyl-2-thiouracil', 'PTU', 'Prothiucil', 'Propylthiouracil', 'Propiltiouracilo', 'Propycil', 'Thyreostat', '6-Propyl-2-thio-2', '3-dihydropyrimidin-4-one', 'CAS 51-52-5', '4-Hydroxy-6-propyl-2-mercaptopyrimidine', 'Propylthiouracile', '6-Propylthiouracil', 'Thiouracil propyl']"
Nitrogen mustard,"['Chlorethazine', 'HN2', 'Mustargen', 'NSC-762', 'Mechlorethamine', 'MBA', '2-Chloro-N-(2-chloroethyl)-N-methylethanamine', 'Dimethylaminoethyl chloride', 'CAS 51-75-2', 'Embikhin', 'Eraclene', '2', ""2'-Dichloro-N-methyldiethylamine"", 'N-Methylbis(2-chloroethyl)amine', 'Nitrogen mustard']"
Sulfasalazine,"['Salicylazosulfapyridine', 'Azulfidine', 'SASP', 'Sulphasalazine', 'Salazopyrin', 'Salazosulfapyridine', 'Reumapyrimid', 'CAS 599-79-1', 'Azulfidine EN-tabs', 'Salazopyrine', 'Salicylazosulfapyridine', 'Salicylazosulphapyridine', 'Azulfidine EN', 'Salicylazosulfapyridine']"
"Glu-P-2 (2-Aminodipyrido[1,2-a","[""3'"", ""2'-d]imidazole): 2-Aminodipyrido(1"", ""2-a:3'"", ""2'-d)imidazole"", '2-Aminodipyrido[1', ""2-a:3'"", ""2'-d]imidazole"", '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
"Glu-P-1 (2-Amino-6-methyldipyrido[1,2-a","[""3'"", ""2'-d]imidazole): 2-Amino-6-methyldipyrido(1"", ""2-a:3'"", ""2'-d)imidazole"", '2-Amino-6-methyldipyrido[1', ""2-a:3'"", ""2'-d]imidazole"", '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Dimethoxane,"['6-Acetoxy-2', '4-dimethyl-m-dioxane', '6-Acetoxy-2', '4-dimethyl-1', '3-dioxane', '1', '3-Dioxane', '2', '4-dimethyl-6-acetoxy-', '2', '4-Dimethyl-6-acetyldioxane-1', '3', 'Dimethoxan', 'CAS 828-00-2', '2', '4-Dimethyl-6-acetoxy-m-dioxane', '2', '4-Dimethyl-6-acetoxy-1', '3-dioxane', 'Acetic acid 5-hydroxy-2-methyl-1', '3-pentylene ester', '2', '4-Dimethyl-6-acetoxy-m-dioxane']"
Acenaphthene,"['1', '2-Dihydroacenaphthylene', '1', '8-Ethylenenaphthalene', 'Naphthyleneethylene', '1', '2-Dihydro-acenaphthylene', 'CAS 83-32-9', 'Acenaphten', '1', '8-Dihydroacenaphthylene', '1', '2-Dihydroacenaphthylene', '1', '2-Dihydro-acenaphthylene', '1', '8-Ethylenenaphthalene']"
Diacetylaminoazotoluene,"['Aminoazotoluene diacetate', 'Azodermin', 'C.I. Solvent Yellow 56', 'Fat Yellow AAB', ""2'"", '3-Dimethyl-4-aminoazobenzene', 'CAS 83-63-6', 'Acetylaminoazotoluene', 'AAT', ""3'-Methyl-2"", '3-dimethyl-4-(o-tolylazo)benzene', 'o-Aminoazotoluene diacetate', 'Pellidol']"
